Year,Month,Day,Consumption
2019,01,01,3.28080
2019,01,02,4.33645
2019,01,03,4.37055
2019,01,04,3.76333
2019,01,05,3.36740
2019,01,06,3.26845
2019,01,07,4.39810
2019,01,08,4.85691
2019,01,09,4.77413
2019,01,10,4.99233
2019,01,11,4.31675
2019,01,12,4.16414
2019,01,13,3.62049
2019,01,14,4.56466
2019,01,15,4.96271
2019,01,16,5.00707
2019,01,17,4.76920
2019,01,18,5.01456
2019,01,19,2.99812
2019,01,20,2.91933
2019,01,21,4.23555
2019,01,22,4.96348
2019,01,23,4.95827
2019,01,24,5.01977
2019,01,25,4.87536
2019,01,26,4.76779
2019,01,27,3.83825
2019,01,28,4.65386
2019,01,29,4.99198
2019,01,30,4.80491
2019,01,31,4.91894
2019,02,01,4.78352
2019,02,02,4.67123
2019,02,03,4.06550
2019,02,04,4.91346
2019,02,05,5.07164
2019,02,06,5.17472
2019,02,07,4.68053
2019,02,08,4.32690
2019,02,09,4.34208
2019,02,10,3.72450
2019,02,11,4.33426
2019,02,12,4.73048
2019,02,13,4.62896
2019,02,14,4.68593
2019,02,15,4.21637
2019,02,16,3.86231
2019,02,17,3.53585
2019,02,18,4.06538
2019,02,19,4.53133
2019,02,20,4.60958
2019,02,21,5.00766
2019,02,22,4.91470
2019,02,23,3.74168
2019,02,24,3.39373
2019,02,25,4.43488
2019,02,26,4.89768
2019,02,27,4.83368
2019,02,28,4.74559
2019,03,01,4.53289
2019,03,02,4.14758
2019,03,03,3.56892
2019,03,04,0.00000
,,
